date,ww,plant,line,machine,lot,tab,pzt,category,sub_category,fail,pass,total
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,aPZT,category-3,sub-a7,31,0,31
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,bPZT,pass,pass,0,2140,2257
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,UP,bPZT,pass,pass,0,2358,2371
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,DN,aPZT,category-4,sub-a3,15,0,15
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,DN,aPZT,category-5,sub-a9,7,0,7
2026-08-24,35,plant-A,line-A10,machine-A7,lot-5,UP,bPZT,category-5,sub-b10,7,0,7
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,DN,aPZT,category-1,sub-a6,10,0,10
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,DN,bPZT,category-5,sub-b2,1,0,1
2026-08-24,35,plant-A,line-A7,machine-A3,lot-3,DN,bPZT,category-4,sub-b5,1,0,1
2026-08-24,35,plant-A,line-A1,machine-A7,lot-4,UP,aPZT,pass,pass,0,2140,2158
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,DN,bPZT,category-5,sub-b6,31,0,31
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,UP,bPZT,category-3,sub-b9,30,0,30
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,UP,bPZT,category-1,sub-b9,16,0,16
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,DN,aPZT,pass,pass,0,2234,2278
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,DN,bPZT,pass,pass,0,2059,2091
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,aPZT,category-4,sub-a8,9,0,9
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,aPZT,category-4,sub-a9,11,0,11
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,bPZT,category-1,sub-b4,7,0,7
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,DN,aPZT,category-1,sub-a2,14,0,14
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,aPZT,category-3,sub-a4,3,0,3
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,DN,bPZT,category-1,sub-b6,37,0,37
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,bPZT,category-2,sub-b6,38,0,38
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,DN,bPZT,category-5,sub-b1,3,0,3
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,UP,bPZT,category-4,sub-b4,21,0,21
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,bPZT,pass,pass,0,2326,2346
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,DN,bPZT,category-5,sub-b6,24,0,24
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,UP,aPZT,category-1,sub-a2,13,0,13
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,UP,bPZT,category-4,sub-b9,2,0,2
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,UP,bPZT,pass,pass,0,2234,2248
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,bPZT,pass,pass,0,2910,2942
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,bPZT,category-2,sub-b7,37,0,37
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,aPZT,pass,pass,0,2326,2420
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,UP,aPZT,pass,pass,0,2059,2181
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,UP,bPZT,category-2,sub-b10,19,0,19
2026-08-25,35,plant-A,line-A10,machine-A2,lot-1,DN,bPZT,category-1,sub-b9,1,0,1
2026-08-25,35,plant-A,line-A6,machine-A10,lot-5,UP,aPZT,category-5,sub-a5,32,0,32
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,UP,bPZT,category-3,sub-b3,30,0,30
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,aPZT,category-1,sub-a7,16,0,16
2026-08-25,35,plant-B,line-B6,machine-B4,lot-8,DN,aPZT,pass,pass,0,2910,2985
2026-08-25,35,plant-B,line-B10,machine-B2,lot-2,DN,bPZT,category-4,sub-b1,39,0,39
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,DN,bPZT,category-5,sub-b6,25,0,25
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,DN,aPZT,category-5,sub-a8,6,0,6
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,UP,bPZT,category-5,sub-b3,2,0,2
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,UP,aPZT,pass,pass,0,2071,2079
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,UP,bPZT,category-4,sub-b6,35,0,35
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,DN,bPZT,category-3,sub-b1,20,0,20
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,UP,aPZT,category-3,sub-a5,35,0,35
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,UP,bPZT,pass,pass,0,2846,2881
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,UP,aPZT,pass,pass,0,2940,3053
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,DN,bPZT,category-2,sub-b8,16,0,16
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,UP,bPZT,category-4,sub-b4,25,0,25
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,UP,aPZT,category-4,sub-a6,26,0,26
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,DN,aPZT,pass,pass,0,2846,2923
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,DN,bPZT,category-2,sub-b7,12,0,12
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,UP,bPZT,pass,pass,0,2849,2867
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,DN,bPZT,category-1,sub-b4,13,0,13
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,DN,aPZT,pass,pass,0,2849,2920
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,DN,bPZT,pass,pass,0,2071,2197
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,DN,bPZT,category-5,sub-b2,8,0,8
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,UP,bPZT,category-2,sub-b2,32,0,32
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,DN,bPZT,pass,pass,0,2940,2952
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,DN,aPZT,category-5,sub-a7,26,0,26
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,DN,bPZT,category-4,sub-b6,8,0,8
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,DN,bPZT,category-5,sub-b4,34,0,34
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,UP,aPZT,category-3,sub-a2,12,0,12
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,UP,aPZT,category-2,sub-a8,35,0,35
2026-08-26,35,plant-A,line-A8,machine-A3,lot-9,UP,aPZT,category-1,sub-a2,12,0,12
2026-08-26,35,plant-A,line-A6,machine-A2,lot-5,DN,bPZT,category-3,sub-b2,21,0,21
2026-08-26,35,plant-A,line-A2,machine-A4,lot-2,UP,bPZT,category-2,sub-b9,18,0,18
2026-08-26,35,plant-B,line-B10,machine-B1,lot-6,DN,aPZT,category-3,sub-a4,39,0,39
