date,ww,plant,line,machine,lot,tab,pzt,category,sub_category,fail,pass,total
2026-08-24,35,plant-B,line-B6,machine-B10,lot-1,DN,aPZT,category-4,sub-a7,32,0,32
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,aPZT,pass,pass,0,2063,2104
2026-08-24,35,plant-B,line-B1,machine-B6,lot-10,DN,bPZT,pass,pass,0,2063,2156
2026-08-24,35,plant-B,line-B1,machine-B9,lot-3,DN,aPZT,category-1,sub-a3,29,0,29
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,UP,bPZT,category-3,sub-b6,27,0,27
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,aPZT,category-4,sub-a8,31,0,31
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,DN,aPZT,category-4,sub-a2,15,0,15
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,UP,aPZT,pass,pass,0,2882,2969
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,DN,aPZT,category-2,sub-a5,12,0,12
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,UP,bPZT,category-5,sub-b9,30,0,30
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,bPZT,category-1,sub-b8,34,0,34
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,DN,aPZT,category-1,sub-a6,27,0,27
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,DN,bPZT,pass,pass,0,2753,2791
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,DN,bPZT,category-3,sub-b5,20,0,20
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,UP,bPZT,pass,pass,0,2882,2909
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,DN,aPZT,pass,pass,0,2753,2882
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,UP,bPZT,category-2,sub-b8,32,0,32
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,UP,bPZT,category-2,sub-b2,22,0,22
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,bPZT,category-2,sub-b7,22,0,22
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,DN,aPZT,category-4,sub-a10,17,0,17
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,DN,bPZT,category-4,sub-b5,5,0,5
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,aPZT,pass,pass,0,2606,2677
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,DN,bPZT,category-5,sub-b2,28,0,28
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,DN,aPZT,category-5,sub-a6,1,0,1
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,DN,aPZT,category-2,sub-a3,2,0,2
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,bPZT,pass,pass,0,2606,2664
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,UP,aPZT,pass,pass,0,2546,2588
2026-08-25,35,plant-B,line-B8,machine-B8,lot-7,DN,bPZT,pass,pass,0,2546,2566
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,DN,bPZT,category-3,,28,0,28
2026-08-25,35,plant-B,line-B9,machine-B10,lot-6,UP,bPZT,category-4,sub-b10,27,0,27
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,UP,bPZT,category-2,sub-b10,13,0,13
2026-08-25,35,plant-B,line-B2,machine-B8,lot-5,DN,bPZT,category-3,sub-b9,2,0,2
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,Dn,aPZT,category-3,,38,0,38
2026-08-25,35,plant-B,line-B6,machine-B7,lot-10,DN,bPZT,category-4,sub-b7,39,0,39
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,aPZT,pass,pass,0,2976,3070
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,UP,aPZT,category-4,sub-a8,29,0,29
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,DN,aPZT,pass,pass,0,2060,2083
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,UP,aPZT,category-3,sub-a10,24,0,24
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,UP,aPZT,category-1,sub-a4,2,0,2
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,UP,aPZT,pass,pass,0,2400,2413
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,UP,aPZT,category-5,sub-a6,29,0,29
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,DN,aPZT,category-5,sub-a6,8,0,8
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,bPZT,category-4,sub-b4,17,0,17
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,bPZT,category-2,sub-b4,15,0,15
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,bPZT,category-1,,33,0,33
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,bPZT,pass,pass,0,2976,2980
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,DN,aPZT,category-2,sub-a7,27,0,27
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,DN,aPZT,category-1,sub-a1,32,0,32
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,UP,bPZT,pass,pass,0,2171,2275
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,UP,aPZT,category-5,sub-a3,8,0,8
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,UP,aPZT,category-3,sub-a6,17,0,17
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,UP,bPZT,category-1,sub-b4,29,0,29
2026-08-26,35,plant-B,line-B10,machine-B2,lot-4,DN,aPZT,category-2,sub-a1,4,0,4
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,DN,aPZT,category-1,sub-a3,24,0,24
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,DN,bPZT,pass,pass,0,2060,2203
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,DN,aPZT,category-2,sub-a10,25,0,25
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,DN,bPZT,category-4,sub-b10,3,0,3
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,UP,bPZT,category-4,sub-b2,23,0,23
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,Dn,aPZT,category-4,,35,0,35
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,DN,bPZT,category-4,sub-b4,39,0,39
2026-08-26,35,plant-B,line-B7,machine-B7,lot-8,UP,aPZT,pass,pass,0,2171,2213
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,DN,bPZT,pass,pass,0,2400,2452
2026-08-26,35,plant-B,line-B4,machine-B4,lot-1,DN,bPZT,category-3,sub-b10,13,0,13
2026-08-26,35,plant-B,line-B2,machine-B2,lot-7,DN,aPZT,category-3,sub-a8,39,0,39
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,DN,aPZT,category-1,sub-a10,15,0,15
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,DN,bPZT,pass,pass,0,2309,2354
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,DN,aPZT,category-5,sub-a10,28,0,28
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,UP,aPZT,pass,pass,0,2074,2098
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,UP,aPZT,category-1,sub-a9,29,0,29
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,UP,bPZT,category-5,sub-b5,18,0,18
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,UP,aPZT,category-5,sub-a6,2,0,2
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,DN,bPZT,category-5,sub-b4,39,0,39
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,Up,aPZT,category-5,sub-a7,10,0,10
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,DN,bPZT,pass,,0,2270,2309
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,UP,bPZT,pass,pass,0,2074,2197
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,UP,bPZT,category-4,sub-b3,29,0,29
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,DN,aPZT,category-1,sub-a3,24,0,24
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,Dn,bPZT,category-2,sub-b4,30,0,30
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,Dn,aPZT,pass,pass,0,2309,2383
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,UP,bPZT,category-4,sub-b6,4,0,4
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,uP,bPZT,pass,pass,0,2317,2329
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,DN,bPZT,category-5,sub-b5,24,0,24
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,DN,aPZT,pass,pass,0,2317,2424
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,DN,bPZT,category-2,sub-b5,34,0,34
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,UP,bPZT,category-1,sub-b4,9,0,9
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,UP,aPZT,category-5,sub-a1,40,0,40
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,Dn,bPZT,category-4,sub-b9,17,0,17
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,DN,bPZT,category-4,,23,0,23
2026-08-27,35,plant-A,line-A8,machine-A8,lot-1,UP,bPZT,category-1,sub-b9,33,0,33
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,DN,aPZT,category-5,sub-a1,12,0,12
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,UP,aPZT,category-4,sub-a2,39,0,39
2026-08-27,35,plant-B,line-B8,machine-B5,lot-5,DN,aPZT,pass,pass,0,2270,2351
2026-08-27,35,plant-B,line-B7,machine-B6,lot-6,DN,bPZT,category-3,sub-b2,26,0,26
2026-08-27,35,plant-A,line-A3,machine-A1,lot-8,UP,aPZT,category-1,sub-a3,20,0,20
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,DN,bPZT,pass,pass,0,2498,2631
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,DN,aPZT,pass,pass,0,2582,2656
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,DN,bPZT,category-1,sub-b8,3,0,3
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,DN,bPZT,category-5,sub-b8,30,0,30
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,DN,aPZT,category-4,sub-a1,3,0,3
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,UP,bPZT,category-5,,10,0,10
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,UP,bPZT,category-3,sub-b8,23,0,23
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,UP,bPZT,category-5,,6,0,6
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,UP,aPZT,category-4,,30,0,30
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,DN,bPZT,pass,pass,0,2582,2614
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,up,bPZT,category-1,sub-b1,11,0,11
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,DN,bPZT,pass,pass,0,2706,2779
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,DN,bPZT,category-4,sub-b6,17,0,17
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,UP,bPZT,pass,pass,0,2027,2058
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,DN,aPZT,category-4,sub-a8,38,0,38
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,UP,aPZT,category-3,sub-a4,38,0,38
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,DN,aPZT,category-5,sub-a10,38,0,38
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,UP,aPZT,pass,pass,0,2498,2531
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,UP,bPZT,category-5,sub-b1,8,0,8
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,DN,aPZT,category-1,sub-a6,35,0,35
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,UP,bPZT,category-4,sub-b5,21,0,21
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,UP,aPZT,category-3,sub-a1,32,0,32
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,DN,bPZT,category-4,,20,0,20
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,UP,bPZT,category-2,sub-b7,33,0,33
2026-08-28,35,plant-A,line-A10,machine-A10,lot-10,UP,aPZT,category-1,sub-a7,24,0,24
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,UP,aPZT,pass,pass,0,2706,2754
2026-08-28,35,plant-B,line-B3,machine-B6,lot-1,DN,bPZT,category-5,,39,0,39
2026-08-28,35,plant-B,line-B4,machine-B10,lot-8,dN,bPZT,category-3,sub-b2,11,0,11
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,DN,aPZT,category-3,sub-a4,31,0,31
2026-08-28,35,plant-B,line-B4,machine-B7,lot-3,UP,aPZT,pass,pass,0,2027,2104
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,UP,aPZT,category-1,sub-a10,34,0,34
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,UP,aPZT,category-5,sub-a6,38,0,38
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,UP,aPZT,category-4,sub-a5,4,0,4
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,DN,bPZT,category-5,,7,0,7
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,DN,bPZT,pass,pass,0,2105,2175
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,UP,aPZT,category-4,sub-a7,30,0,30
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,UP,bPZT,category-5,sub-b2,2,0,2
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,Up,bPZT,category-5,,13,0,13
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,UP,bPZT,category-4,sub-b10,21,0,21
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,up,aPZT,pass,pass,0,2300,2335
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,DN,aPZT,category-4,sub-a10,24,0,24
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,UP,bPZT,category-5,sub-b9,25,0,25
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,UP,bPZT,category-4,sub-b10,21,0,21
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,UP,bPZT,pass,pass,0,2300,2342
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,DN,bPZT,category-4,sub-b5,6,0,6
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,DN,aPZT,pass,pass,0,2760,2810
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,DN,bPZT,category-3,sub-b8,6,0,6
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,UP,bPZT,category-2,sub-b4,13,0,13
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,dN,aPZT,category-3,,39,0,39
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,DN,aPZT,category-4,sub-a3,40,0,40
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,dn,bPZT,category-2,,35,0,35
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,UP,bPZT,category-2,sub-b9,9,0,9
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,DN,bPZT,category-1,sub-b2,30,0,30
2026-08-29,35,plant-A,line-A3,machine-A9,lot-9,UP,bPZT,pass,pass,0,2760,2823
2026-08-29,35,plant-B,line-B10,machine-B7,lot-4,DN,aPZT,pass,pass,0,2105,2167
2026-08-29,35,plant-A,line-A10,machine-A5,lot-10,DN,bPZT,category-1,sub-b7,2,0,2
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,DN,aPZT,pass,pass,0,2127,2170
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,UP,aPZT,category-3,sub-a7,29,0,29
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,UP,bPZT,pass,,0,2127,2198
2026-08-29,35,plant-B,line-B3,machine-B8,lot-5,up,aPZT,category-3,sub-a8,8,0,8
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,UP,bPZT,category-5,sub-b1,5,0,5
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,DN,bPZT,pass,pass,0,2820,2884
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,DN,bPZT,category-3,sub-b3,37,0,37
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,DN,aPZT,category-5,sub-a2,4,0,4
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,DN,aPZT,pass,pass,0,2930,3026
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,UP,bPZT,category-4,sub-b2,31,0,31
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,UP,bPZT,category-3,sub-b3,12,0,12
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,DN,bPZT,category-5,sub-b3,37,0,37
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,DN,aPZT,category-4,sub-a7,39,0,39
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,DN,bPZT,pass,pass,0,2930,2997
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,UP,bPZT,category-3,sub-b8,29,0,29
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,DN,bPZT,pass,pass,0,2006,2051
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,DN,aPZT,category-2,,30,0,30
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,UP,aPZT,category-2,sub-a2,14,0,14
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,UP,aPZT,category-4,sub-a2,3,0,3
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,UP,aPZT,category-2,sub-a10,35,0,35
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,DN,bPZT,category-3,sub-b4,30,0,30
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,DN,bPZT,category-4,sub-b5,33,0,33
2026-08-30,35,plant-B,line-B10,machine-B5,lot-2,UP,aPZT,category-5,,25,0,25
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,Dn,aPZT,category-5,sub-a2,23,0,23
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,UP,aPZT,pass,pass,0,2061,2134
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,UP,aPZT,pass,pass,0,2006,2076
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,UP,aPZT,category-4,sub-a7,22,0,22
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,up,aPZT,category-4,sub-a10,17,0,17
2026-08-30,35,plant-B,line-B8,machine-B6,lot-7,UP,bPZT,category-1,sub-b5,21,0,21
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,UP,bPZT,pass,pass,0,2061,2105
2026-08-30,35,plant-B,line-B7,machine-B10,lot-5,UP,bPZT,category-4,sub-b8,35,0,35
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,UP,aPZT,category-5,sub-a6,8,0,8
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,DN,bPZT,category-3,sub-b7,39,0,39
2026-08-30,35,plant-A,line-A3,machine-A3,lot-3,UP,aPZT,pass,pass,0,2820,2890
